2018/10/02/14:03:25.777765;;;337;-2143;15313;78;46;14;-610;-163;1168;206;209;31;0
2018/10/02/14:03:25.789764;;;433;-1919;15841;28;-74;-36;-610;-163;1168;18;210;31;0
2018/10/02/14:03:25.802788;;;433;-1727;16113;-48;-12;74;-610;-163;1168;86;210;31;0
2018/10/02/14:03:25.814743;;;449;-1519;15953;84;46;16;-610;-163;1168;154;210;31;0
2018/10/02/14:03:25.830694;;;321;-1439;16097;-12;-90;104;-610;-163;1168;222;210;31;0
2018/10/02/14:03:25.843767;;;369;-1647;15905;166;-38;42;-616;-143;1175;34;211;31;0
2018/10/02/14:03:25.855725;;;529;-1663;16129;52;88;2;-616;-143;1175;102;211;31;0
2018/10/02/14:03:25.867769;;;225;-1775;15745;60;18;-58;-616;-143;1175;170;211;31;0
2018/10/02/14:03:25.884765;;;433;-1807;15473;32;-62;-2;-635;-183;1155;255;211;31;0
2018/10/02/14:03:25.896725;;;305;-1743;15841;68;84;-112;-635;-183;1155;67;212;31;0
2018/10/02/14:03:25.908775;;;65;-1967;15441;92;-36;-64;-591;-150;1162;134;212;31;0
2018/10/02/14:03:25.920698;;;257;-1887;15713;46;-64;-92;-591;-150;1162;202;212;31;0
2018/10/02/14:03:25.937769;;;241;-2047;15857;-48;-170;-22;-591;-150;1162;14;213;31;0
2018/10/02/14:03:25.949772;;;353;-1855;15857;64;64;-120;-603;-163;1182;82;213;31;0
2018/10/02/14:03:25.961771;;;369;-1887;15857;-36;-94;2;-603;-163;1182;150;213;31;0
2018/10/02/14:03:25.974755;;;401;-1999;15905;-88;-162;180;-571;-150;1182;218;213;31;0
2018/10/02/14:03:25.990676;;;497;-1887;16049;28;-4;-60;-571;-150;1182;30;214;31;0
2018/10/02/14:03:26.002767;;;545;-2015;16161;-84;-8;-26;-571;-150;1182;98;214;31;0
2018/10/02/14:03:26.015751;;;529;-1967;15825;-40;-50;98;-603;-163;1189;166;214;31;0
2018/10/02/14:03:26.027763;;;593;-2015;16065;-52;140;-32;-603;-163;1189;234;214;31;0
2018/10/02/14:03:26.039749;;;449;-2127;15921;22;72;-92;-610;-176;1162;46;215;31;0
2018/10/02/14:03:26.056769;;;449;-2191;16033;-44;-52;88;-610;-176;1162;114;215;31;0
2018/10/02/14:03:26.068788;;;337;-2143;15985;-156;76;-92;-610;-176;1162;182;215;31;0
2018/10/02/14:03:26.080688;;;385;-2127;16017;52;26;-94;-546;-169;1189;250;215;31;0
2018/10/02/14:03:26.092745;;;417;-2127;16049;-80;-90;100;-546;-169;1189;79;216;31;0
2018/10/02/14:03:26.109770;;;497;-1951;16033;-96;-12;82;-591;-202;1222;147;216;31;0
2018/10/02/14:03:26.121753;;;401;-1887;16097;16;36;-10;-591;-202;1222;215;216;31;0
2018/10/02/14:03:26.133756;;;545;-1967;15953;-52;66;-38;-591;-202;1222;27;217;31;0
2018/10/02/14:03:26.146769;;;513;-1967;16033;44;4;38;-623;-143;1175;95;217;31;0
2018/10/02/14:03:26.162760;;;529;-1967;16113;-10;-12;-78;-623;-143;1175;163;217;31;0
2018/10/02/14:03:26.174758;;;449;-1791;15793;90;34;62;-571;-189;1155;231;217;31;0
2018/10/02/14:03:26.187769;;;449;-1839;15825;0;88;4;-571;-189;1155;43;218;31;0
2018/10/02/14:03:26.199770;;;465;-1695;15905;-60;-48;20;-571;-189;1155;111;218;31;0
2018/10/02/14:03:26.215754;;;449;-1759;15793;46;162;-80;-584;-156;1182;179;218;31;0
2018/10/02/14:03:26.228771;;;273;-1647;15681;118;12;-44;-584;-156;1182;247;218;31;0
2018/10/02/14:03:26.240689;;;273;-1727;15633;0;72;-70;-578;-183;1148;59;219;31;0
2018/10/02/14:03:26.252768;;;161;-1903;15713;-106;100;-58;-578;-183;1148;127;219;31;0
2018/10/02/14:03:26.269756;;;321;-1919;15713;-78;-86;68;-578;-183;1148;195;219;31;0
2018/10/02/14:03:26.281755;;;113;-1983;15857;-6;-24;26;-623;-176;1162;24;220;31;0
2018/10/02/14:03:26.297769;;;305;-1871;15953;100;18;4;-623;-176;1162;92;220;31;0
2018/10/02/14:03:26.310688;;;209;-1823;15841;-30;16;78;-571;-176;1182;160;220;31;0
2018/10/02/14:03:26.322747;;;289;-1775;15953;-16;-120;14;-571;-176;1182;245;220;31;0
2018/10/02/14:03:26.334751;;;321;-1871;15825;-70;-62;42;-603;-163;1195;57;221;31;0
2018/10/02/14:03:26.350688;;;273;-1631;15697;18;-90;-50;-603;-163;1195;125;221;31;0
2018/10/02/14:03:26.363750;;;273;-2079;16001;-30;16;62;-603;-163;1195;193;221;31;0
